region_id;0_ID;1_Outer_cell_layer(nm);2_Nucleus;3_Trichocysts;4_Chloroplast;5_Plastoglobuli;6_Pusule;7_Food_vacuole;8_Starch;9_Crystalline_compartment;10_Large_vacuole;11_CBB/flagella;12_Symbiosis/parasitism/Prey/2=Kleptoplastidism;13_Reticulated_network;14_Electron_dense_sheets;15_Tubular_network;16_Rhabdosomes_and_alike_structure;17_eyespot/mt_array;19_Presumed_ID;18_NI_a_z;20_Area(nm^2)
1;VSM20_A2_PM9_001;;1;1;1;0;1;0;6;0;0;0;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,r;1,0506E+11
2;VSM20_A2_PM9_002;;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;Triadinium_sphaericum_sp;d,r;6,3229E+10
3;VSM20_A2_PM9_003;;1;1;1;0;1;0;5;0;0;0;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,r;1,2538E+11
4;VSM20_A2_PM9_004;;1;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;Pseudalatosphaera_corsica_sp;x;1,1309E+11
5;VSM20_A2_PM9_005;;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;Paleophalacroma_sp;r;1,5014E+10
6;VSM20_A2_PM9_006;;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;Triadinium_sphaericum_sp;d,r,s;8,1937E+10
7;VSM20_A2_PM9_007;;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;Protoperidinium_sp;p,r;2,0790E+11
8;VSM20_A2_PM9_008;;0;1;1;1;0;0;6;1;0;0;0;1;0;0;0;0;NI;r;1,0745E+11
9;VSM20_A2_PM9_009;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;NI;r;6,9696E+10
10;VSM20_A2_PM9_010;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;x;4,0397E+10
11;VSM20_A2_PM9_011;;1;1;1;2;1;1;14;1;0;0;0;1;0;0;0;0;NI;r;1,6118E+11
12;VSM20_A2_PM9_012;;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;NI;x;3,5355E+11
13;VSM20_A2_PM9_013;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;w,r;1,7610E+11
14;VSM20_A2_PM9_014;;1;1;0;0;0;0;9;0;0;0;1;0;1;0;0;0;Protoperidinium_sp;x;3,2377E+11
15;VSM20_A2_PM9_015;;1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;Protoperidinium_sp;x;2,6403E+11
16;VSM20_A2_PM9_016;;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;NI;r;1,4654E+11
17;VSM20_A2_PM9_017;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NI;x;1,6102E+11
18;VSM20_A2_PM9_018;;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;Protoperidinium_sp;r;2,2664E+11
19;VSM20_A2_PM9_019;;1;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;NI;x;5,3815E+11
20;VSM20_A2_PM9_020;;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;NI;x;3,0286E+11
21;VSM20_A2_PM9_021;;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;Protoperidinium_sp;x;2,0109E+11
22;VSM20_A2_PM9_022;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;r;2,8054E+10
23;VSM20_A2_PM9_023;;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;NI;x;1,0959E+11
24;VSM20_A2_PM9_024;;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;Ciliate;x;2,3446E+10
25;VSM20_A2_PM9_025;;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;NI;x;1,3876E+11
26;VSM20_A2_PM9_026;;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;NI;x;1,1885E+11
27;VSM20_A2_PM9_027;;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;Protoperidinium_sp;x;1,3937E+11
28;VSM20_A2_PM9_028;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NI;x;1,6587E+10
29;VSM20_A2_PM9_029;;1;1;0;0;0;0;6;1;0;1;0;0;0;0;0;0;Oxytoxum_sp;j,r;6,2512E+10
